{1001: 288237, 1002: 300000},
{1001: 276454, 1002: 300000},
{1001: 264683, 1002: 300000},
{1001: 252850, 1002: 300000},
{1001: 241037, 1002: 300000},
{1001: 229184, 1002: 300000},
{1001: 217278, 1002: 300000},
{1001: 205345, 1002: 300000},
{1001: 193495, 1002: 300000},
{1001: 181726, 1002: 300000},
{1001: 169879, 1002: 300000},
{1001: 158065, 1002: 300000},
{1001: 146276, 1002: 300000},
{1001: 134470, 1002: 300000},
{1001: 122555, 1002: 300000},
{1001: 110615, 1002: 300000},
{1001: 98628, 1002: 300000},
{1001: 86767, 1002: 300000},
{1001: 74954, 1002: 300000},
{1001: 63112, 1002: 300000},
{1001: 51288, 1002: 300000},
{1001: 39503, 1002: 300000},
{1001: 27730, 1002: 300000},
{1001: 15881, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 4027, 1002: 300000},
{1001: 1450438, 1002: 300000, 2001: 35637},
{1001: 1473913, 1002: 300000, 2001: 35637},
{1001: 1497410, 1002: 300000, 2001: 35637},
{1001: 1520858, 1002: 300000, 2001: 35637},
{1001: 1544249, 1002: 300000, 2001: 35637},
{1001: 1567627, 1002: 300000, 2001: 35637},
{1001: 1591091, 1002: 300000, 2001: 35637},
{1001: 1614489, 1002: 300000, 2001: 35637},
{1001: 1637960, 1002: 300000, 2001: 35637},
{1001: 1661404, 1002: 300000, 2001: 35637},
{1001: 1684848, 1002: 300000, 2001: 35637},
{1001: 1708266, 1002: 300000, 2001: 35637},
{1001: 1731644, 1002: 300000, 2001: 35637},
{1001: 1755000, 1002: 300000, 2001: 35637},
{1001: 1778366, 1002: 300000, 2001: 35637},
{1001: 1801732, 1002: 300000, 2001: 35637},
{1001: 1825073, 1002: 300000, 2001: 35637},
{1001: 1848439, 1002: 300000, 2001: 35637},
{1001: 1871738, 1002: 300000, 2001: 35637},
{1001: 1895099, 1002: 300000, 2001: 35637},
{1001: 1918486, 1002: 300000, 2001: 35637},
{1001: 1941960, 1002: 300000, 2001: 35637},
{1001: 1965436, 1002: 300000, 2001: 35637},
{1001: 1988907, 1002: 300000, 2001: 35637},
{1001: 2012420, 1002: 300000, 2001: 35637},
{1001: 2035934, 1002: 300000, 2001: 35637},
{1001: 2059507, 1002: 300000, 2001: 35637},
{1001: 2083012, 1002: 300000, 2001: 35637},
{1001: 2106548, 1002: 300000, 2001: 35637},
{1001: 2130027, 1002: 300000, 2001: 35637},
{1001: 2153506, 1002: 300000, 2001: 35637},
{1001: 2176991, 1002: 300000, 2001: 35637},
{1001: 2200485, 1002: 300000, 2001: 35637},
{1001: 2224008, 1002: 300000, 2001: 35637},
{1001: 2247554, 1002: 300000, 2001: 35637},
{1001: 2271055, 1002: 300000, 2001: 35637},
{1001: 2294608, 1002: 300000, 2001: 35637},
{1001: 2318201, 1002: 300000, 2001: 35637},
{1001: 2341821, 1002: 300000, 2001: 35637},
{1001: 2365462, 1002: 300000, 2001: 35637},
{1001: 2389116, 1002: 300000, 2001: 35637},
{1001: 2412728, 1002: 300000, 2001: 35637},
{1001: 2436261, 1002: 300000, 2001: 35637},
{1001: 2459771, 1002: 300000, 2001: 35637},
{1001: 2483261, 1002: 300000, 2001: 35637},
{1001: 2506790, 1002: 300000, 2001: 35637},
{1001: 2530298, 1002: 300000, 2001: 35637},
{1001: 2553792, 1002: 300000, 2001: 35637},
{1001: 2577369, 1002: 300000, 2001: 35637},
{1001: 2600922, 1002: 300000, 2001: 35637},
{1001: 2624420, 1002: 300000, 2001: 35637},
{1001: 2647924, 1002: 300000, 2001: 35637},
{1001: 2671418, 1002: 300000, 2001: 35637},
{1001: 2694909, 1002: 300000, 2001: 35637},
{1001: 2718321, 1002: 300000, 2001: 35637},
{1001: 2741837, 1002: 300000, 2001: 35637},
{1001: 2765421, 1002: 300000, 2001: 35637},
{1001: 2789030, 1002: 300000, 2001: 35637},
{1001: 2812619, 1002: 300000, 2001: 35637},
{1001: 2836222, 1002: 300000, 2001: 35637},
{1001: 2859921, 1002: 300000, 2001: 35637},
{1001: 2883692, 1002: 300000, 2001: 35637},
{1001: 2907435, 1002: 300000, 2001: 35637},
{1001: 2931180, 1002: 300000, 2001: 35637},
{1001: 2954848, 1002: 300000, 2001: 35637},
{1001: 2978552, 1002: 300000, 2001: 35637},
{1001: 3002269, 1002: 300000, 2001: 35637},
{1001: 3025980, 1002: 300000, 2001: 35637},
{1001: 3049710, 1002: 300000, 2001: 35637},
{1001: 3073435, 1002: 300000, 2001: 35637},
{1001: 3097181, 1002: 300000, 2001: 35637},
{1001: 3120892, 1002: 300000, 2001: 35637},
{1001: 3144646, 1002: 300000, 2001: 35637},
{1001: 3168458, 1002: 300000, 2001: 35637},
{1001: 3192293, 1002: 300000, 2001: 35637},
{1001: 3216148, 1002: 300000, 2001: 35637},
{1001: 3240001, 1002: 300000, 2001: 35637},
{1001: 3263897, 1002: 300000, 2001: 35637},
{1001: 3287809, 1002: 300000, 2001: 35637},
{1001: 3311700, 1002: 300000, 2001: 35637},
{1001: 3335591, 1002: 300000, 2001: 35637},
{1001: 3359482, 1002: 300000, 2001: 35637},
{1001: 3383307, 1002: 300000, 2001: 35637},
{1001: 3407060, 1002: 300000, 2001: 35637},
{1001: 3430824, 1002: 300000, 2001: 35637},
{1001: 3454573, 1002: 300000, 2001: 35637},
{1001: 3478306, 1002: 300000, 2001: 35637},
{1001: 3502047, 1002: 300000, 2001: 35637},
{1001: 3525720, 1002: 300000, 2001: 35637},
{1001: 3549387, 1002: 300000, 2001: 35637},
{1001: 3573038, 1002: 300000, 2001: 35637},
{1001: 3596640, 1002: 300000, 2001: 35637},
{1001: 3620226, 1002: 300000, 2001: 35637},
{1001: 3643856, 1002: 300000, 2001: 35637},
{1001: 3667447, 1002: 300000, 2001: 35637},
{1001: 3691018, 1002: 300000, 2001: 35637},
{1001: 3714570, 1002: 300000, 2001: 35637},
{1001: 3738119, 1002: 300000, 2001: 35637},
{1001: 3761686, 1002: 300000, 2001: 35637},
{1001: 3785194, 1002: 300000, 2001: 35637},
{1001: 3808749, 1002: 300000, 2001: 35637},
{1001: 3832342, 1002: 300000, 2001: 35637},
{1001: 3855958, 1002: 300000, 2001: 35637},
{1001: 3879590, 1002: 300000, 2001: 35637},
{1001: 3903167, 1002: 300000, 2001: 35637},
{1001: 3926745, 1002: 300000, 2001: 35637},
{1001: 3950213, 1002: 300000, 2001: 35637},
{1001: 3973680, 1002: 300000, 2001: 35637},
{1001: 3997199, 1002: 300000, 2001: 35637},
{1001: 4020755, 1002: 300000, 2001: 35637},
{1001: 4044269, 1002: 300000, 2001: 35637},
{1001: 4067763, 1002: 300000, 2001: 35637},
{1001: 4091178, 1002: 300000, 2001: 35637},
{1001: 4114603, 1002: 300000, 2001: 35637},
{1001: 4138037, 1002: 300000, 2001: 35637},
{1001: 4161486, 1002: 300000, 2001: 35637},
{1001: 4184911, 1002: 300000, 2001: 35637},
{1001: 4208284, 1002: 300000, 2001: 35637},
{1001: 4231692, 1002: 300000, 2001: 35637},
{1001: 4255131, 1002: 300000, 2001: 35637},
{1001: 4278626, 1002: 300000, 2001: 35637},
{1001: 4302062, 1002: 300000, 2001: 35637},
{1001: 4325474, 1002: 300000, 2001: 35637},
{1001: 4348925, 1002: 300000, 2001: 35637},
{1001: 4372375, 1002: 300000, 2001: 35637},
{1001: 4395895, 1002: 300000, 2001: 35637},
{1001: 4419370, 1002: 300000, 2001: 35637},
{1001: 4442825, 1002: 300000, 2001: 35637},
{1001: 4466267, 1002: 300000, 2001: 35637},
{1001: 4489730, 1002: 300000, 2001: 35637},
{1001: 4513242, 1002: 300000, 2001: 35637},
{1001: 4536767, 1002: 300000, 2001: 35637},
{1001: 4560296, 1002: 300000, 2001: 35637},
{1001: 4583809, 1002: 300000, 2001: 35637},
{1001: 4607509, 1002: 300000, 2001: 35637},
{1001: 4631248, 1002: 300000, 2001: 35637},
{1001: 4654994, 1002: 300000, 2001: 35637},
{1001: 4678737, 1002: 300000, 2001: 35637},
{1001: 4702423, 1002: 300000, 2001: 35637},
{1001: 4726124, 1002: 300000, 2001: 35637},
{1001: 4749811, 1002: 300000, 2001: 35637},
{1001: 4773538, 1002: 300000, 2001: 35637},
{1001: 4797287, 1002: 300000, 2001: 35637},
{1001: 4821040, 1002: 300000, 2001: 35637},
{1001: 4844793, 1002: 300000, 2001: 35637},
{1001: 4868607, 1002: 300000, 2001: 35637},
{1001: 4892378, 1002: 300000, 2001: 35637},
{1001: 4916177, 1002: 300000, 2001: 35637},
{1001: 4939983, 1002: 300000, 2001: 35637},
{1001: 4963782, 1002: 300000, 2001: 35637},
{1001: 4987561, 1002: 300000, 2001: 35637},
{1001: 5011346, 1002: 300000, 2001: 35637},
{1001: 5035139, 1002: 300000, 2001: 35637},
{1001: 5058964, 1002: 300000, 2001: 35637},
{1001: 5082792, 1002: 300000, 2001: 35637},
{1001: 5106627, 1002: 300000, 2001: 35637},
{1001: 5130498, 1002: 300000, 2001: 35637},
{1001: 5154360, 1002: 300000, 2001: 35637},
{1001: 5178225, 1002: 300000, 2001: 35637},
{1001: 5202087, 1002: 300000, 2001: 35637},
{1001: 5225957, 1002: 300000, 2001: 35637},
{1001: 5249807, 1002: 300000, 2001: 35637},
{1001: 5273634, 1002: 300000, 2001: 35637},
{1001: 5297464, 1002: 300000, 2001: 35637},
{1001: 5321228, 1002: 300000, 2001: 35637},
{1001: 5344974, 1002: 300000, 2001: 35637},
{1001: 5368725, 1002: 300000, 2001: 35637},
{1001: 5392477, 1002: 300000, 2001: 35637},
{1001: 5416253, 1002: 300000, 2001: 35637},
{1001: 5440040, 1002: 300000, 2001: 35637},
{1001: 5463870, 1002: 300000, 2001: 35637},
{1001: 5487746, 1002: 300000, 2001: 35637},
{1001: 5511661, 1002: 300000, 2001: 35637},
{1001: 5535580, 1002: 300000, 2001: 35637},
{1001: 5559478, 1002: 300000, 2001: 35637},
{1001: 5583350, 1002: 300000, 2001: 35637},
{1001: 5607215, 1002: 300000, 2001: 35637},
{1001: 5631085, 1002: 300000, 2001: 35637},
{1001: 5654999, 1002: 300000, 2001: 35637},
{1001: 5678940, 1002: 300000, 2001: 35637},
{1001: 5702906, 1002: 300000, 2001: 35637},
{1001: 5726825, 1002: 300000, 2001: 35637},
{1001: 5750722, 1002: 300000, 2001: 35637},
{1001: 5774623, 1002: 300000, 2001: 35637},
{1001: 5798493, 1002: 300000, 2001: 35637},
{1001: 5822369, 1002: 300000, 2001: 35637},
{1001: 5846205, 1002: 300000, 2001: 35637},
{1001: 5870008, 1002: 300000, 2001: 35637},
{1001: 5893828, 1002: 300000, 2001: 35637},
{1001: 5917619, 1002: 300000, 2001: 35637},
{1001: 5941384, 1002: 300000, 2001: 35637},
{1001: 5965157, 1002: 300000, 2001: 35637},
{1001: 5988934, 1002: 300000, 2001: 35637},
{1001: 6012744, 1002: 300000, 2001: 35637},
{1001: 6036543, 1002: 300000, 2001: 35637},
{1001: 6060339, 1002: 300000, 2001: 35637},
{1001: 6084196, 1002: 300000, 2001: 35637},
{1001: 6108019, 1002: 300000, 2001: 35637},
{1001: 6131832, 1002: 300000, 2001: 35637},
{1001: 6155706, 1002: 300000, 2001: 35637},
{1001: 6179563, 1002: 300000, 2001: 35637},
{1001: 6203489, 1002: 300000, 2001: 35637},
{1001: 6227388, 1002: 300000, 2001: 35637},
{1001: 6251296, 1002: 300000, 2001: 35637},
{1001: 6275218, 1002: 300000, 2001: 35637},
{1001: 6299136, 1002: 300000, 2001: 35637},
{1001: 6323075, 1002: 300000, 2001: 35637},
{1001: 6347034, 1002: 300000, 2001: 35637},
{1001: 6371017, 1002: 300000, 2001: 35637},
{1001: 6395075, 1002: 300000, 2001: 35637},
{1001: 6419112, 1002: 300000, 2001: 35637},
{1001: 6443113, 1002: 300000, 2001: 35637},
{1001: 6467148, 1002: 300000, 2001: 35637},
{1001: 6491243, 1002: 300000, 2001: 35637},
{1001: 6515318, 1002: 300000, 2001: 35637},
{1001: 6539386, 1002: 300000, 2001: 35637},
{1001: 6563449, 1002: 300000, 2001: 35637},
{1001: 6587531, 1002: 300000, 2001: 35637},
{1001: 6611606, 1002: 300000, 2001: 35637},
{1001: 6635641, 1002: 300000, 2001: 35637},
{1001: 6659676, 1002: 300000, 2001: 35637},
{1001: 6683709, 1002: 300000, 2001: 35637},
{1001: 6707691, 1002: 300000, 2001: 35637},
{1001: 6731705, 1002: 300000, 2001: 35637},
{1001: 6755705, 1002: 300000, 2001: 35637},
{1001: 6779712, 1002: 300000, 2001: 35637},
{1001: 6803746, 1002: 300000, 2001: 35637},
{1001: 6827765, 1002: 300000, 2001: 35637},
{1001: 6851785, 1002: 300000, 2001: 35637},
{1001: 6875829, 1002: 300000, 2001: 35637},
{1001: 6899821, 1002: 300000, 2001: 35637},
{1001: 6923880, 1002: 300000, 2001: 35637},
{1001: 6947914, 1002: 300000, 2001: 35637},
{1001: 6971973, 1002: 300000, 2001: 35637},
{1001: 6996041, 1002: 300000, 2001: 35637},
{1001: 7020159, 1002: 300000, 2001: 35637},
{1001: 7044217, 1002: 300000, 2001: 35637},
{1001: 7068277, 1002: 300000, 2001: 35637},
{1001: 7092356, 1002: 300000, 2001: 35637},
{1001: 7116533, 1002: 300000, 2001: 35637},
{1001: 7140722, 1002: 300000, 2001: 35637},
{1001: 7164915, 1002: 300000, 2001: 35637},
{1001: 7189184, 1002: 300000, 2001: 35637},
{1001: 7213505, 1002: 300000, 2001: 35637},
{1001: 7237797, 1002: 300000, 2001: 35637},
{1001: 7262163, 1002: 300000, 2001: 35637},
{1001: 7286522, 1002: 300000, 2001: 35637},
{1001: 7310900, 1002: 300000, 2001: 35637},
{1001: 7335331, 1002: 300000, 2001: 35637},
{1001: 7359745, 1002: 300000, 2001: 35637},
{1001: 7384091, 1002: 300000, 2001: 35637},
{1001: 7408452, 1002: 300000, 2001: 35637},
{1001: 7432726, 1002: 300000, 2001: 35637},
{1001: 7457049, 1002: 300000, 2001: 35637},
{1001: 7481347, 1002: 300000, 2001: 35637},
{1001: 7505693, 1002: 300000, 2001: 35637},
{1001: 7530043, 1002: 300000, 2001: 35637},
{1001: 7554424, 1002: 300000, 2001: 35637},
{1001: 7578762, 1002: 300000, 2001: 35637},
{1001: 7603088, 1002: 300000, 2001: 35637},
{1001: 7627452, 1002: 300000, 2001: 35637},
{1001: 7651811, 1002: 300000, 2001: 35637},
{1001: 7676139, 1002: 300000, 2001: 35637},
{1001: 7700514, 1002: 300000, 2001: 35637},
{1001: 7724815, 1002: 300000, 2001: 35637},
{1001: 7749122, 1002: 300000, 2001: 35637},
{1001: 7773486, 1002: 300000, 2001: 35637},
{1001: 7797828, 1002: 300000, 2001: 35637},
{1001: 7822164, 1002: 300000, 2001: 35637},
{1001: 7846491, 1002: 300000, 2001: 35637},
{1001: 7870811, 1002: 300000, 2001: 35637},
{1001: 7895136, 1002: 300000, 2001: 35637},
{1001: 7919442, 1002: 300000, 2001: 35637},
{1001: 7943776, 1002: 300000, 2001: 35637},
{1001: 7968079, 1002: 300000, 2001: 35637},
{1001: 7992390, 1002: 300000, 2001: 35637},
